001,How many Federal Holidays are there in the United States?,10,7,13,18,General
002,What is a group of turkeys called?,a Rafter,a brood,a peep,a swamp,General
003,What is the only edible food that doesn't expire?,Honey,Rice,Barley,Ketchup,General
004,"What does the ""www"" stand for in an a website browser bar?",World Wide Web,Wild Wonderful Winter,Worried Warlocks Waging,Wilcox Wired Web,General
005,Which two U.S. States don't observe daylight savings time?,Arizona & Hawaii,Texas & Arizona,Alaska & Washington,California & Alaska,General
006,What is the Call Sign of the US Marine Corps aircraft that carries the President?,Marine One,Marine Two,Airforce Two,Pheonix One,General
007,How many signs are in the Zodiac,12,10,15,20,General
008,What country produces the most potatoes?,China,United State,Ireland,Russia,General
009,What vegetable has varieties known as Bell Orobelle and Jupiter?,Pepper,Squash,Onion,Corn,General
010,Marzipan is made with what kind of nut?,Almond,Cashew,Pecan,Walnut,General
011,If you have cryophobia what are you afraid of? ,Cold,Time,Fire,Watches,General
012,What’s the shortcut for the copy function on most computers?,ctrl c,alt c,ctrl k,ctrl v,General
013,Which animal can be seen on the Porsche logo?,Horse,Cheetah,Donkey,Chicken,General
014,When is Canada Day?,July 1st,July 5th,March 22nd,November 10th,General
015,According to the commercial “what is the fabric of our lives”?,Cotton,Nylon,Wool,Denim,General
016,When Michael Jordan played for the Chicago Bulls how many NBA Championships did he win?,6,10,4,2,General
017,What is the legal term for a voluntary written statement made under oath?,Affidavit,Brief,Testimony,Verdict,General
018,What is the slogan of Apple Inc.?,Think Different,Just Do It,Eureka!,Dont be Evil,General
019,The Roman God of War inspired the name of which planet?,Mars,Jupiter,Pluto,Venus,General
020,Where did backgammon originate?,Persia,Austria,China,India,General
021,Which country and its territories covers the most time zones?,France,Russia,United States,England,Geography
022,In terms of geographical area what is the largest country in Africa?,Algeria,Democratic Republic of Congo,Egypt,South Africa,Geography
023,Which of these national parks is located east of the Mississippi River?,Acadia,Olympic,Glacier,Arches,Geography
024,Which of these cities is a state capital?,Nashville TN,Louisville KY,St. Louis MO,Orlando FL,Geography
025,Which of these rivers does not flow through France?,The Danube,The Seine,The Loire,The Rhine,Geography
026,What Canadian province separates Alaska from the continental United States?,British Columbia,Alberta,Quebec,Nova Scotia,Geography
027,Sri Lanka is surrounded by which ocean?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean,Geography
